rank,title,artist,peakPos,lastPos,isNew,image
1,REBEL HEART,IVE(아이브),,1,False,https://musicmeta-phinf.pstatic.net/album/032/560/32560807.jpg?type=r256Fll&v=20250226170757
2,나는 반딧불,황가람,,2,False,https://musicmeta-phinf.pstatic.net/album/032/223/32223565.jpg?type=r256Fll&v=20241021184120
3,"HOME SWEET HOME (feat. 태양, 대성)",G-DRAGON,,3,False,https://musicmeta-phinf.pstatic.net/album/032/312/32312776.jpg?type=r256Fll&v=20241127165131
4,TOO BAD (feat. Anderson .Paak),G-DRAGON,,18,False,https://musicmeta-phinf.pstatic.net/album/032/999/32999599.jpg?type=r256Fll&v=20250225132007
5,APT.,로제 (ROSÉ),,4,False,https://musicmeta-phinf.pstatic.net/album/032/218/32218786.jpg?type=r256Fll&v=20241122104456
6,Whiplash,aespa,,5,False,https://musicmeta-phinf.pstatic.net/album/032/223/32223740.jpg?type=r256Fll&v=20241021143055
7,ATTITUDE,IVE(아이브),,6,False,https://musicmeta-phinf.pstatic.net/album/032/560/32560807.jpg?type=r256Fll&v=20250226170757
8,오늘만 I LOVE YOU,BOYNEXTDOOR,,7,False,https://musicmeta-phinf.pstatic.net/album/032/514/32514192.jpg?type=r256Fll&v=20250107135036
9,모르시나요 (PROD. 로코베리),조째즈,,9,False,https://musicmeta-phinf.pstatic.net/album/032/514/32514782.jpg?type=r256Fll&v=20250107142015
10,HAPPY,DAY6(데이식스),,8,False,https://musicmeta-phinf.pstatic.net/album/031/043/31043036.jpg?type=r256Fll&v=20240402145726
11,DRAMA,G-DRAGON,,30,False,https://musicmeta-phinf.pstatic.net/album/032/999/32999599.jpg?type=r256Fll&v=20250225132007
12,Drowning,WOODZ,,10,False,https://musicmeta-phinf.pstatic.net/album/009/113/9113175.jpg?type=r256Fll&v=20240224095510
13,미치게 그리워서,황가람,,11,False,https://musicmeta-phinf.pstatic.net/album/032/727/32727811.jpg?type=r256Fll&v=20250207134146
14,PO￦ER,G-DRAGON,,12,False,https://musicmeta-phinf.pstatic.net/album/032/261/32261031.jpg?type=r256Fll&v=20250225135901
15,toxic till the end,로제 (ROSÉ),,13,False,https://musicmeta-phinf.pstatic.net/album/032/400/32400568.jpg?type=r256Fll&v=20250221151010
16,내 이름 맑음,QWER,,14,False,https://musicmeta-phinf.pstatic.net/album/032/057/32057155.jpg?type=r256Fll&v=20241206120538
17,한 페이지가 될 수 있게,DAY6(데이식스),,15,False,https://musicmeta-phinf.pstatic.net/album/003/117/3117381.jpg?type=r256Fll&v=20230331153414
18,Die With A Smile,Lady Gaga,,17,False,https://musicmeta-phinf.pstatic.net/album/032/002/32002405.jpg?type=r256Fll&v=20240816150503
19,DRIP,BABYMONSTER,,16,False,https://musicmeta-phinf.pstatic.net/album/032/243/32243530.jpg?type=r256Fll&v=20250117110816
20,Supernova,aespa,,19,False,https://musicmeta-phinf.pstatic.net/album/031/577/31577945.jpg?type=r256Fll&v=20240828151204
21,슬픈 초대장,순순희(지환),,20,False,https://musicmeta-phinf.pstatic.net/album/030/559/30559604.jpg?type=r256Fll&v=20250205161023
22,내게 사랑이 뭐냐고 물어본다면,로이킴,,23,False,https://musicmeta-phinf.pstatic.net/album/032/208/32208455.jpg?type=r256Fll&v=20241017182358
23,너와의 모든 지금,재쓰비 (JAESSBEE),,21,False,https://musicmeta-phinf.pstatic.net/album/032/278/32278592.jpg?type=r256Fll&v=20241108193138
24,고민중독,QWER,,22,False,https://musicmeta-phinf.pstatic.net/album/031/194/31194405.jpg?type=r256Fll&v=20240507111203
25,Welcome to the Show,DAY6(데이식스),,24,False,https://musicmeta-phinf.pstatic.net/album/031/043/31043036.jpg?type=r256Fll&v=20240402145726
26,비의 랩소디,임재현,,25,False,https://musicmeta-phinf.pstatic.net/album/030/416/30416945.jpg?type=r256Fll&v=20231206102040
27,Love wins all,아이유(IU),,26,False,https://musicmeta-phinf.pstatic.net/album/030/796/30796788.jpg?type=r256Fll&v=20240223101020
28,ExtraL (feat. Doechii),제니 (JENNIE),,42,False,https://musicmeta-phinf.pstatic.net/album/032/889/32889603.jpg?type=r256Fll&v=20250226174821
29,UP (KARINA Solo),aespa,,27,False,https://musicmeta-phinf.pstatic.net/album/032/195/32195099.jpg?type=r256Fll&v=20241014115556
30,Mantra,제니 (JENNIE),,28,False,https://musicmeta-phinf.pstatic.net/album/032/201/32201028.jpg?type=r256Fll&v=20241016152943
31,나는 아픈 건 딱 질색이니까,(여자)아이들,,29,False,https://musicmeta-phinf.pstatic.net/album/030/792/30792280.jpg?type=r256Fll&v=20240219144550
32,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU(악뮤),,31,False,https://musicmeta-phinf.pstatic.net/album/003/199/3199865.jpg?type=r256Fll&v=20230307022055
33,소나기,이클립스(ECLIPSE),,32,False,https://musicmeta-phinf.pstatic.net/album/031/359/31359951.jpg?type=r256Fll&v=20240729140740
34,STRESS,청하,,53,False,https://musicmeta-phinf.pstatic.net/album/032/864/32864060.jpg?type=r256Fll&v=20250220152438
35,TAKE ME,G-DRAGON,,61,False,https://musicmeta-phinf.pstatic.net/album/032/999/32999599.jpg?type=r256Fll&v=20250225132007
36,가르쳐줘,한해,,66,False,https://musicmeta-phinf.pstatic.net/album/032/725/32725385.jpg?type=r256Fll&v=20250206170403
37,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션(Nerd Connection),,33,False,https://musicmeta-phinf.pstatic.net/album/010/174/10174038.jpg?type=r256Fll&v=20240516111050
38,number one girl,로제 (ROSÉ),,34,False,https://musicmeta-phinf.pstatic.net/album/032/314/32314961.jpg?type=r256Fll&v=20241122135346
39,천상연,이창섭,,35,False,https://musicmeta-phinf.pstatic.net/album/030/878/30878664.jpg?type=r256Fll&v=20240220123436
40,How Sweet,NewJeans,,36,False,https://musicmeta-phinf.pstatic.net/album/031/512/31512201.jpg?type=r256Fll&v=20240524110922
41,earthquake,지수 (JISOO),,50,False,https://musicmeta-phinf.pstatic.net/album/032/877/32877792.jpg?type=r256Fll&v=20250217104346
42,"무제(無題) (Untitled, 2014)",G-DRAGON,,39,False,https://musicmeta-phinf.pstatic.net/album/002/017/2017080.jpg?type=r256Fll&v=20230331144409
43,에피소드,이무진,,37,False,https://musicmeta-phinf.pstatic.net/album/030/483/30483267.jpg?type=r256Fll&v=20250205163525
44,첫 만남은 계획대로 되지 않아,TWS(투어스),,38,False,https://musicmeta-phinf.pstatic.net/album/030/624/30624437.jpg?type=r256Fll&v=20241206121620
45,헤어지자 말해요,박재정,,40,False,https://musicmeta-phinf.pstatic.net/album/009/494/9494325.jpg?type=r256Fll&v=20230419175019
46,IBELONGIIU,G-DRAGON,,62,False,https://musicmeta-phinf.pstatic.net/album/032/999/32999599.jpg?type=r256Fll&v=20250225132007
47,Magnetic,아일릿(ILLIT),,43,False,https://musicmeta-phinf.pstatic.net/album/031/069/31069538.jpg?type=r256Fll&v=20241125170731
48,예뻤어,DAY6(데이식스),,41,False,https://musicmeta-phinf.pstatic.net/album/001/779/1779662.jpg?type=r256Fll&v=20240129085632
49,청춘만화,이무진,,44,False,https://musicmeta-phinf.pstatic.net/album/032/173/32173325.jpg?type=r256Fll&v=20250205163526
50,해야 (HEYA),IVE(아이브),,46,False,https://musicmeta-phinf.pstatic.net/album/031/538/31538864.jpg?type=r256Fll&v=20240429154136
51,I AM,IVE(아이브),,47,False,https://musicmeta-phinf.pstatic.net/album/009/334/9334427.jpg?type=r256Fll&v=20240225013026
52,인사,범진,,48,False,https://musicmeta-phinf.pstatic.net/album/006/747/6747334.jpg?type=r256Fll&v=20231211112557
53,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),,45,False,https://musicmeta-phinf.pstatic.net/album/007/442/7442898.jpg?type=r256Fll&v=20240220011529
54,보나마나 (BONAMANA),G-DRAGON,,71,False,https://musicmeta-phinf.pstatic.net/album/032/999/32999599.jpg?type=r256Fll&v=20250225132007
55,Small girl (feat. 도경수(D.O.)),이영지,,49,False,https://musicmeta-phinf.pstatic.net/album/031/862/31862729.jpg?type=r256Fll&v=20241024180424
56,그대가 내 안에 박혔다(그내박),순순희(기태),,52,False,https://musicmeta-phinf.pstatic.net/album/008/746/8746607.jpg?type=r256Fll&v=20240224004013
57,GYRO-DROP,G-DRAGON,,81,False,https://musicmeta-phinf.pstatic.net/album/032/999/32999599.jpg?type=r256Fll&v=20250225132007
58,뱅뱅뱅 (BANG BANG BANG),BIGBANG (빅뱅),,51,False,https://musicmeta-phinf.pstatic.net/album/000/549/549037.jpg?type=r256Fll&v=20240127133601
59,클락션 (Klaxon),(여자)아이들,,54,False,https://musicmeta-phinf.pstatic.net/album/031/905/31905390.jpg?type=r256Fll&v=20240819114652
60,살기 위해서,순순희,,57,False,https://musicmeta-phinf.pstatic.net/album/007/509/7509566.jpg?type=r256Fll&v=20230331101639
61,Not Like Us,Kendrick Lamar,,63,False,https://musicmeta-phinf.pstatic.net/album/031/561/31561189.jpg?type=r256Fll&v=20240508040017
62,내 삶의 반,임재현,,56,False,https://musicmeta-phinf.pstatic.net/album/032/599/32599773.jpg?type=r256Fll&v=20250117105545
63,FANTASTIC BABY,BIGBANG (빅뱅),,55,False,https://musicmeta-phinf.pstatic.net/album/000/313/313987.jpg?type=r256Fll&v=20240207162946
64,너의 모든 순간,성시경,,58,False,https://musicmeta-phinf.pstatic.net/album/000/416/416823.jpg?type=r256Fll&v=20240127054540
65,Storm,김보경(NEON),,60,False,https://musicmeta-phinf.pstatic.net/album/032/696/32696597.jpg?type=r256Fll&v=20250123185729
66,Supersonic,프로미스나인,,59,False,https://musicmeta-phinf.pstatic.net/album/031/992/31992010.jpg?type=r256Fll&v=20240812153650
67,Love Hangover (feat. Dominic Fike),제니 (JENNIE),,67,False,https://musicmeta-phinf.pstatic.net/album/032/698/32698693.jpg?type=r256Fll&v=20250226174831
68,첫눈처럼 너에게 가겠다,에일리(Ailee),,64,False,https://musicmeta-phinf.pstatic.net/album/001/773/1773336.jpg?type=r256Fll&v=20230331141841
69,다정히 내 이름을 부르면,경서예지,,65,False,https://musicmeta-phinf.pstatic.net/album/005/880/5880633.jpg?type=r256Fll&v=20240216232008
70,Beautiful Things,Benson Boone,,70,False,https://musicmeta-phinf.pstatic.net/album/030/779/30779021.jpg?type=r256Fll&v=20240122112543
71,주저하는 연인들을 위해,잔나비,,68,False,https://musicmeta-phinf.pstatic.net/album/002/923/2923941.jpg?type=r256Fll&v=20240507111145
72,아픈 추억은 사랑이 아니었기를,펀치 (Punch),,106,False,https://musicmeta-phinf.pstatic.net/album/032/864/32864087.jpg?type=r256Fll&v=20250211174211
73,Hype Boy,NewJeans,,69,False,https://musicmeta-phinf.pstatic.net/album/007/795/7795016.jpg?type=r256Fll&v=20240221013522
74,Armageddon,aespa,,74,False,https://musicmeta-phinf.pstatic.net/album/031/577/31577945.jpg?type=r256Fll&v=20240828151204
75,붉은 노을,BIGBANG (빅뱅),,72,False,https://musicmeta-phinf.pstatic.net/album/000/149/149083.jpg?type=r256Fll&v=20240128212648
76,네모네모,YENA(최예나),,73,False,https://musicmeta-phinf.pstatic.net/album/032/151/32151913.jpg?type=r256Fll&v=20241206121713
77,사건의 지평선,윤하,,75,False,https://musicmeta-phinf.pstatic.net/album/007/434/7434553.jpg?type=r256Fll&v=20240219231017
78,미인(美人),이예준,,76,False,https://musicmeta-phinf.pstatic.net/album/032/521/32521124.jpg?type=r256Fll&v=20250108153059
79,Sticky,KISS OF LIFE,,80,False,https://musicmeta-phinf.pstatic.net/album/031/883/31883806.jpg?type=r256Fll&v=20240802104116
80,사랑할 수밖에,볼빨간사춘기,,78,False,https://musicmeta-phinf.pstatic.net/album/030/451/30451566.jpg?type=r256Fll&v=20240227160510
81,물론,허각,,77,False,https://musicmeta-phinf.pstatic.net/album/009/613/9613552.jpg?type=r256Fll&v=20240225095505
82,취중고백,김민석,,83,False,https://musicmeta-phinf.pstatic.net/album/006/739/6739257.jpg?type=r256Fll&v=20231215200513
83,청바지,부석순(SEVENTEEN),,79,False,https://musicmeta-phinf.pstatic.net/album/032/520/32520658.jpg?type=r256Fll&v=20250221154529
84,Ditto,NewJeans,,86,False,https://musicmeta-phinf.pstatic.net/album/008/500/8500274.jpg?type=r256Fll&v=20240223183518
85,밤양갱,비비(BIBI),,87,False,https://musicmeta-phinf.pstatic.net/album/030/864/30864083.jpg?type=r256Fll&v=20240610141946
86,심(心),DK(디셈버),,84,False,https://musicmeta-phinf.pstatic.net/album/009/045/9045225.jpg?type=r256Fll&v=20240516111050
87,사막에서 꽃을 피우듯,우디 (Woody),,89,False,https://musicmeta-phinf.pstatic.net/album/010/042/10042234.jpg?type=r256Fll&v=20230717102032
88,여전히 아름다운지,박진주,,82,False,https://musicmeta-phinf.pstatic.net/album/032/600/32600014.jpg?type=r256Fll&v=20250117171632
89,SPOT! (feat. JENNIE),지코 (ZICO),,88,False,https://musicmeta-phinf.pstatic.net/album/031/511/31511885.jpg?type=r256Fll&v=20240429173328
90,When I Get Old,Christopher,,91,False,https://musicmeta-phinf.pstatic.net/album/008/241/8241264.jpg?type=r256Fll&v=20240222104522
91,Supernatural,NewJeans,,95,False,https://musicmeta-phinf.pstatic.net/album/031/851/31851676.jpg?type=r256Fll&v=20240621140647
92,ETA,NewJeans,,92,False,https://musicmeta-phinf.pstatic.net/album/010/035/10035234.jpg?type=r256Fll&v=20240226054515
93,녹아내려요,DAY6(데이식스),,98,False,https://musicmeta-phinf.pstatic.net/album/032/076/32076760.jpg?type=r256Fll&v=20240902115307
94,우리의 다정한 계절 속에 (Season of Memories),여자친구(GFRIEND),,90,False,https://musicmeta-phinf.pstatic.net/album/032/513/32513023.jpg?type=r256Fll&v=20250117155122
95,밤편지,아이유(IU),,94,False,https://musicmeta-phinf.pstatic.net/album/001/855/1855408.jpg?type=r256Fll&v=20230331142723
96,...사랑했잖아...(2024),고경표,,97,False,https://musicmeta-phinf.pstatic.net/album/032/290/32290518.jpg?type=r256Fll&v=20241113143505
97,To. X,태연 (TAEYEON),,99,False,https://musicmeta-phinf.pstatic.net/album/030/408/30408961.jpg?type=r256Fll&v=20231127143132
98,별 떨어진다 (I Do),도경수(D.O.),,96,False,https://musicmeta-phinf.pstatic.net/album/010/232/10232861.jpg?type=r256Fll&v=20240426103353
99,Igloo,KISS OF LIFE,,93,False,https://musicmeta-phinf.pstatic.net/album/032/166/32166646.jpg?type=r256Fll&v=20241115113517
100,흰수염고래,유재석,,85,False,https://musicmeta-phinf.pstatic.net/album/032/698/32698532.jpg?type=r256Fll&v=20250221151016
